epoch,train_loss,val_exact_sentence_accuracy,val_all_slots_joint_accuracy,val_mean_slot_accuracy,val_relation_accuracy,selection_score,learning_rate
1,1.2902805156177946,0.0,0.0,0.3720499108734403,0.21647058823529414,0.3098181818181818,0.0003
2,1.2331033435132768,0.0,0.0,0.3848128342245989,0.21098039215686276,0.3152798573975044,0.0003
3,1.2030308624108632,0.0,0.0,0.3947237076648841,0.21921568627450982,0.3245204991087344,0.0003
4,1.1840198695659638,0.0,0.0,0.39679144385026743,0.23254901960784313,0.33109447415329774,0.0003
5,1.1716979377799563,0.0,0.0,0.3950802139037433,0.2372549019607843,0.3319500891265597,0.0003
6,1.1632284780343374,0.0,0.0,0.40413547237076647,0.26235294117647057,0.3474224598930481,0.0003
7,1.157212769985199,0.0,0.0,0.40691622103386815,0.26274509803921564,0.34924777183600714,0.0003
8,1.1520597312185499,0.0,0.0,0.4091978609625669,0.27098039215686276,0.35391087344028527,0.0003
9,1.1486744576030308,0.0,0.0,0.41098039215686283,0.28352941176470586,0.36000000000000004,0.0003
10,1.14590918885337,0.0,0.0,0.41304812834224597,0.2749019607843137,0.3577896613190731,0.0003
11,1.142233493593004,0.0,0.0,0.41219251336898394,0.27568627450980393,0.3575900178253119,0.0003
12,1.1399077912171682,0.0,0.0,0.41903743315508013,0.2815686274509804,0.36404991087344024,0.0003
13,1.1382474806573657,0.0,0.0,0.4113368983957219,0.27960784313725495,0.3586452762923351,0.0003
14,1.1365883462958866,0.0,0.0,0.4141889483065953,0.2776470588235294,0.3595721925133689,0.0003
15,1.1345737232102289,0.0,0.0,0.42231729055258477,0.2952941176470588,0.3715080213903744,0.0003
16,1.1324916866090562,0.0,0.0,0.4233868092691622,0.28509803921568627,0.3680713012477718,0.0003
17,1.1308187822500864,0.000784313725490196,0.000784313725490196,0.4270231729055258,0.2819607843137255,0.3689982174688057,0.0003
18,1.1285683936542934,0.0,0.0,0.4271657754010695,0.2788235294117647,0.36782887700534755,0.0003
19,1.1222813427448273,0.0,0.0,0.43600713012477715,0.296078431372549,0.3800356506238859,0.00015
20,1.1206276807520124,0.0,0.0,0.43757575757575756,0.28823529411764703,0.37783957219251335,0.00015
21,1.1181789735953014,0.000784313725490196,0.000784313725490196,0.4392156862745098,0.28823529411764703,0.37882352941176467,0.00015
22,1.1158535778522491,0.000784313725490196,0.000784313725490196,0.44456327985739746,0.2819607843137255,0.3795222816399287,0.00015
23,1.111139049132665,0.000784313725490196,0.000784313725490196,0.4446345811051693,0.28823529411764703,0.3820748663101604,7.5e-05
24,1.10925651523802,0.0,0.0,0.4442780748663102,0.28117647058823525,0.3790374331550802,7.5e-05
25,1.1079735259215038,0.0,0.0,0.4449197860962567,0.28941176470588237,0.38271657754010696,7.5e-05
