image_id,file_name,description,objects
0,img_0.png,a medium yellow square is below a medium red triangle | a medium yellow square is left of a big blue circle,"[{""shape"": ""square"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 55, ""y"": 103, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""red"", ""size"": ""medium"", ""x"": 82, ""y"": 32, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""big"", ""x"": 137, ""y"": 168, ""pixel_size"": 65}, {""shape"": ""triangle"", ""color"": ""blue"", ""size"": ""small"", ""x"": 68, ""y"": 2, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 112, ""y"": 186, ""pixel_size"": 45}]"
1,img_1.png,a big green circle is left of a big green circle | a big green circle is left of a big yellow circle,"[{""shape"": ""circle"", ""color"": ""green"", ""size"": ""big"", ""x"": 64, ""y"": 162, ""pixel_size"": 65}, {""shape"": ""circle"", ""color"": ""green"", ""size"": ""big"", ""x"": 150, ""y"": 145, ""pixel_size"": 65}, {""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 153, ""y"": 146, ""pixel_size"": 65}, {""shape"": ""triangle"", ""color"": ""black"", ""size"": ""small"", ""x"": 72, ""y"": 27, ""pixel_size"": 25}]"
2,img_2.png,a small blue square is below a medium red triangle | a small blue square is below a medium green triangle,"[{""shape"": ""square"", ""color"": ""blue"", ""size"": ""small"", ""x"": 173, ""y"": 131, ""pixel_size"": 25}, {""shape"": ""triangle"", ""color"": ""red"", ""size"": ""medium"", ""x"": 189, ""y"": 20, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""green"", ""size"": ""medium"", ""x"": 111, ""y"": 21, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""medium"", ""x"": 154, ""y"": 98, ""pixel_size"": 45}]"
3,img_3.png,a medium blue square is above a medium red square | a medium blue square is above a medium green square,"[{""shape"": ""square"", ""color"": ""blue"", ""size"": ""medium"", ""x"": 190, ""y"": 39, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""red"", ""size"": ""medium"", ""x"": 159, ""y"": 122, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""medium"", ""x"": 138, ""y"": 100, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""black"", ""size"": ""small"", ""x"": 95, ""y"": 189, ""pixel_size"": 25}, {""shape"": ""triangle"", ""color"": ""black"", ""size"": ""medium"", ""x"": 75, ""y"": 111, ""pixel_size"": 45}]"
4,img_4.png,a big yellow triangle is overlapping a medium yellow triangle | a big yellow triangle is overlapping a small blue square,"[{""shape"": ""triangle"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 113, ""y"": 143, ""pixel_size"": 65}, {""shape"": ""triangle"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 137, ""y"": 102, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""blue"", ""size"": ""small"", ""x"": 143, ""y"": 201, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""red"", ""size"": ""medium"", ""x"": 151, ""y"": 132, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""small"", ""x"": 153, ""y"": 167, ""pixel_size"": 25}]"
5,img_5.png,a medium blue circle is below a small blue triangle | a medium blue circle is above a medium blue circle,"[{""shape"": ""circle"", ""color"": ""blue"", ""size"": ""medium"", ""x"": 100, ""y"": 105, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""blue"", ""size"": ""small"", ""x"": 142, ""y"": 15, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""medium"", ""x"": 105, ""y"": 166, ""pixel_size"": 45}]"
6,img_6.png,a medium yellow circle is above a big green square | a medium yellow circle is above a big yellow square,"[{""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 104, ""y"": 19, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""big"", ""x"": 135, ""y"": 112, ""pixel_size"": 65}, {""shape"": ""square"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 126, ""y"": 142, ""pixel_size"": 65}, {""shape"": ""square"", ""color"": ""blue"", ""size"": ""small"", ""x"": 27, ""y"": 130, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""small"", ""x"": 39, ""y"": 158, ""pixel_size"": 25}]"
7,img_7.png,a medium green triangle is below a big yellow triangle | a medium green triangle is overlapping a medium blue triangle,"[{""shape"": ""triangle"", ""color"": ""green"", ""size"": ""medium"", ""x"": 190, ""y"": 108, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 141, ""y"": 9, ""pixel_size"": 65}, {""shape"": ""triangle"", ""color"": ""blue"", ""size"": ""medium"", ""x"": 162, ""y"": 98, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""green"", ""size"": ""big"", ""x"": 65, ""y"": 36, ""pixel_size"": 65}, {""shape"": ""circle"", ""color"": ""green"", ""size"": ""big"", ""x"": 41, ""y"": 37, ""pixel_size"": 65}]"
8,img_8.png,a small red square is right of a medium green square | a small red square is right of a small red circle,"[{""shape"": ""square"", ""color"": ""red"", ""size"": ""small"", ""x"": 196, ""y"": 2, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""medium"", ""x"": 55, ""y"": 113, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""red"", ""size"": ""small"", ""x"": 134, ""y"": 0, ""pixel_size"": 25}]"
9,img_9.png,a big red triangle is above a small green square | a big red triangle is above a small blue circle,"[{""shape"": ""triangle"", ""color"": ""red"", ""size"": ""big"", ""x"": 144, ""y"": 32, ""pixel_size"": 65}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""small"", ""x"": 135, ""y"": 211, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""small"", ""x"": 136, ""y"": 128, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 100, ""y"": 58, ""pixel_size"": 65}, {""shape"": ""square"", ""color"": ""blue"", ""size"": ""small"", ""x"": 100, ""y"": 9, ""pixel_size"": 25}]"
10,img_10.png,a small red circle is right of a small green square | a small red circle is above a medium blue circle,"[{""shape"": ""circle"", ""color"": ""red"", ""size"": ""small"", ""x"": 198, ""y"": 59, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""small"", ""x"": 112, ""y"": 18, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""medium"", ""x"": 174, ""y"": 104, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""green"", ""size"": ""medium"", ""x"": 104, ""y"": 132, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""black"", ""size"": ""medium"", ""x"": 159, ""y"": 110, ""pixel_size"": 45}]"
11,img_11.png,a medium yellow square is below a medium blue square | a medium yellow square is below a small yellow triangle,"[{""shape"": ""square"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 31, ""y"": 177, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""blue"", ""size"": ""medium"", ""x"": 41, ""y"": 83, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""yellow"", ""size"": ""small"", ""x"": 127, ""y"": 10, ""pixel_size"": 25}, {""shape"": ""triangle"", ""color"": ""green"", ""size"": ""small"", ""x"": 186, ""y"": 48, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""small"", ""x"": 103, ""y"": 27, ""pixel_size"": 25}]"
12,img_12.png,a big black circle is left of a small yellow circle | a big black circle is below a medium yellow circle,"[{""shape"": ""circle"", ""color"": ""black"", ""size"": ""big"", ""x"": 62, ""y"": 113, ""pixel_size"": 65}, {""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""small"", ""x"": 133, ""y"": 116, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 103, ""y"": 0, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""green"", ""size"": ""medium"", ""x"": 185, ""y"": 118, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""green"", ""size"": ""medium"", ""x"": 86, ""y"": 32, ""pixel_size"": 45}]"
13,img_13.png,a medium yellow square is right of a small blue circle | a medium yellow square is right of a medium yellow circle,"[{""shape"": ""square"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 176, ""y"": 115, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""small"", ""x"": 21, ""y"": 127, ""pixel_size"": 25}, {""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 82, ""y"": 46, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""blue"", ""size"": ""big"", ""x"": 55, ""y"": 148, ""pixel_size"": 65}]"
14,img_14.png,a big black square is left of a small green triangle | a big black square is overlapping a big black square,"[{""shape"": ""square"", ""color"": ""black"", ""size"": ""big"", ""x"": 109, ""y"": 84, ""pixel_size"": 65}, {""shape"": ""triangle"", ""color"": ""green"", ""size"": ""small"", ""x"": 179, ""y"": 131, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""black"", ""size"": ""big"", ""x"": 138, ""y"": 103, ""pixel_size"": 65}]"
15,img_15.png,a medium red triangle is right of a small black square | a medium red triangle is left of a small red square,"[{""shape"": ""triangle"", ""color"": ""red"", ""size"": ""medium"", ""x"": 139, ""y"": 93, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""black"", ""size"": ""small"", ""x"": 36, ""y"": 6, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""red"", ""size"": ""small"", ""x"": 205, ""y"": 112, ""pixel_size"": 25}, {""shape"": ""triangle"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 136, ""y"": 77, ""pixel_size"": 65}]"
16,img_16.png,a medium yellow circle is overlapping a medium black circle | a medium yellow circle is left of a medium red triangle,"[{""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 95, ""y"": 148, ""pixel_size"": 45}, {""shape"": ""circle"", ""color"": ""black"", ""size"": ""medium"", ""x"": 123, ""y"": 173, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""red"", ""size"": ""medium"", ""x"": 145, ""y"": 145, ""pixel_size"": 45}, {""shape"": ""triangle"", ""color"": ""black"", ""size"": ""big"", ""x"": 49, ""y"": 20, ""pixel_size"": 65}, {""shape"": ""circle"", ""color"": ""yellow"", ""size"": ""medium"", ""x"": 97, ""y"": 45, ""pixel_size"": 45}]"
17,img_17.png,a small black square is overlapping a medium black square | a small black square is left of a big yellow square,"[{""shape"": ""square"", ""color"": ""black"", ""size"": ""small"", ""x"": 49, ""y"": 170, ""pixel_size"": 25}, {""shape"": ""square"", ""color"": ""black"", ""size"": ""medium"", ""x"": 69, ""y"": 191, ""pixel_size"": 45}, {""shape"": ""square"", ""color"": ""yellow"", ""size"": ""big"", ""x"": 121, ""y"": 68, ""pixel_size"": 65}]"
