epoch,train_loss,val_exact_sentence_accuracy,val_all_slots_joint_accuracy,val_mean_slot_accuracy,val_relation_accuracy,selection_score,learning_rate
1,1.2264827701780532,0.0,0.0,0.41026737967914445,0.2741176470588235,0.3558074866310161,0.0003
2,1.1618783838219113,0.0,0.0,0.46509803921568627,0.2592156862745098,0.3827450980392157,0.0003
3,1.100192114379671,0.000784313725490196,0.000784313725490196,0.48427807486631025,0.30823529411764705,0.41386096256684496,0.0003
4,1.069202662176556,0.0,0.0,0.47807486631016044,0.31098039215686274,0.41123707664884135,0.0003
5,1.0511048979229398,0.0,0.0,0.4849197860962567,0.30549019607843136,0.4131479500891265,0.0003
6,1.0390130596028433,0.0,0.0,0.5035294117647059,0.3254901960784314,0.4323137254901961,0.0003
7,1.0300675769646963,0.0,0.0,0.5073083778966132,0.32745098039215687,0.43536541889483066,0.0003
8,1.0214621129963133,0.0,0.0,0.49347593582887694,0.303921568627451,0.4176541889483066,0.0003
9,1.0144554283883838,0.0,0.0,0.470873440285205,0.28980392156862744,0.3984456327985739,0.0003
10,1.0097578701045777,0.000784313725490196,0.000784313725490196,0.5008199643493761,0.3129411764705882,0.42566844919786095,0.0003
11,0.9946835554308362,0.000784313725490196,0.000784313725490196,0.5026737967914439,0.30941176470588233,0.4253689839572192,0.00015
12,0.9881297518809636,0.000784313725490196,0.000784313725490196,0.5050980392156863,0.303921568627451,0.4246274509803922,0.00015
13,0.9831010748942693,0.0,0.0,0.5011051693404635,0.31882352941176473,0.42819251336898395,0.00015
